,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
312,Madison,Illinois,58.0,0.37,60531,71,266153,1
313,Marion,Illinois,9.0,0.5,9723,0,38305,1
314,Morgan,Illinois,9.0,0.5,8786,4,34442,1
315,Ogle,Illinois,4.0,0.49,12307,5,51619,1
316,Peoria,Illinois,95.0,0.4,40675,30,186145,1
317,Richland,Illinois,8.0,0.53,4167,0,15953,1
318,Rock Island,Illinois,27.0,0.4,35994,30,146205,1
319,St. Clair,Illinois,42.0,0.36,54566,147,264433,1
320,Sangamon,Illinois,83.0,0.41,45191,34,198134,1
321,Stephenson,Illinois,8.0,0.49,13432,6,45839,1
322,Tazewell,Illinois,8.0,0.43,31973,8,134695,1
323,Vermilion,Illinois,12.0,0.47,19371,2,79207,1
324,Wabash,Illinois,4.0,0.53,3004,0,11568,1
325,Wayne,Illinois,4.0,0.55,4419,1,16569,1
326,Whiteside,Illinois,9.0,0.49,14999,16,56823,1
327,Will,Illinois,73.0,0.29,116816,330,687727,0
328,Williamson,Illinois,26.0,0.45,16353,4,67477,1
329,Winnebago,Illinois,90.0,0.35,65218,108,287512,1
330,Adams,Indiana,4.0,0.49,7140,2,35018,1
331,Allen,Indiana,134.0,0.35,70976,148,367747,1
332,Bartholomew,Indiana,17.0,0.45,16862,48,81024,1
333,Boone,Indiana,8.0,0.46,11259,47,63013,1
334,Cass,Indiana,5.0,0.49,8878,10,38248,1
335,Clark,Indiana,22.0,0.41,23978,51,114893,1
336,Daviess,Indiana,5.0,0.51,6611,19,32777,1
337,Dearborn,Indiana,8.0,0.46,11201,26,49564,1
338,DeKalb,Indiana,8.0,0.48,9197,5,42524,1
339,Delaware,Indiana,36.0,0.42,25540,53,115938,1
340,Dubois,Indiana,26.0,0.49,9945,7,42379,1
341,Elkhart,Indiana,35.0,0.37,38669,66,202924,1
342,Floyd,Indiana,16.0,0.38,16661,46,76481,1
343,Fulton,Indiana,4.0,0.52,5248,1,20296,1
344,Gibson,Indiana,5.0,0.5,7576,2,33596,1
345,Grant,Indiana,19.0,0.46,16678,30,67615,1
346,Greene,Indiana,5.0,0.51,8315,36,32431,1
347,Hamilton,Indiana,25.0,0.32,49209,107,309687,1
348,Hancock,Indiana,24.0,0.43,15514,37,72776,1
349,Harrison,Indiana,4.0,0.49,9441,24,39450,1
350,Hendricks,Indiana,28.0,0.39,28822,118,158170,1
351,Henry,Indiana,10.0,0.47,12162,18,48649,1
352,Howard,Indiana,21.0,0.42,20461,61,82457,1
353,Jackson,Indiana,7.0,0.49,9380,4,43779,1
354,Jasper,Indiana,4.0,0.51,7509,2,33448,1
355,Jefferson,Indiana,6.0,0.5,7164,2,32293,1
356,Johnson,Indiana,6.0,0.39,29234,126,149359,1
357,Knox,Indiana,30.0,0.5,8735,0,37763,1
358,Kosciusko,Indiana,14.0,0.46,16785,6,78720,1
359,Lake,Indiana,181.0,0.27,104898,268,488694,0
360,LaPorte,Indiana,34.0,0.44,25713,28,110839,1
361,Lawrence,Indiana,6.0,0.48,11750,26,45669,1
362,Madison,Indiana,38.0,0.41,30680,74,129641,1
363,Marion,Indiana,318.0,0.14,160942,747,939964,0
364,Marshall,Indiana,7.0,0.48,10866,12,46752,1
365,Miami,Indiana,4.0,0.49,7957,2,36035,1
366,Monroe,Indiana,24.0,0.41,23773,30,144436,1
367,Montgomery,Indiana,5.0,0.49,8814,21,38288,1
368,Perry,Indiana,4.0,0.52,4691,12,19229,1
369,Porter,Indiana,32.0,0.38,36197,40,167391,1
370,Putnam,Indiana,6.0,0.5,8058,8,37543,1
371,St. Joseph,Indiana,74.0,0.35,57385,76,268613,1
372,Scott,Indiana,4.0,0.49,5247,10,23722,1
373,Starke,Indiana,1.0,0.51,5553,5,22966,1
374,Steuben,Indiana,2.0,0.49,8776,3,34459,1
375,Sullivan,Indiana,4.0,0.52,4547,1,20900,1
376,Tippecanoe,Indiana,30.0,0.4,28594,11,186081,1
377,Vanderburgh,Indiana,127.0,0.33,40560,6,181831,1
378,Vermillion,Indiana,6.0,0.52,4085,0,15644,1
379,Vigo,Indiana,54.0,0.42,22306,9,107723,1
380,Warrick,Indiana,24.0,0.46,13734,31,61581,1
381,Wayne,Indiana,30.0,0.46,16958,6,66972,1
382,Wells,Indiana,7.0,0.5,6613,1,27832,1
383,Appanoose,Iowa,3.0,0.56,3759,3,12547,1
384,Black Hawk,Iowa,29.0,0.42,28271,60,132960,1
385,Calhoun,Iowa,2.0,0.57,3002,2,9814,1
386,Carroll,Iowa,6.0,0.53,5287,1,20428,1
387,Cass,Iowa,4.0,0.54,3898,0,13327,1
388,Cerro Gordo,Iowa,18.0,0.5,12003,11,43134,1
389,Clinton,Iowa,10.0,0.49,12082,1,47587,1
390,Des Moines,Iowa,12.0,0.49,10621,2,39876,1
391,Dubuque,Iowa,18.0,0.45,22155,23,96571,1
392,Johnson,Iowa,18.0,0.43,21650,9,144425,1
393,Lee,Iowa,3.0,0.51,9123,2,34785,1
394,Linn,Iowa,36.0,0.4,45693,85,220008,1
395,Marion,Iowa,3.0,0.51,7804,0,33127,1
396,Montgomery,Iowa,8.0,0.55,2863,2,10239,1
397,Muscatine,Iowa,5.0,0.49,9608,45,42923,1
398,Page,Iowa,2.0,0.54,4507,0,15393,1
399,Polk,Iowa,84.0,0.32,81860,188,467235,0
400,Pottawattamie,Iowa,29.0,0.46,21265,13,93287,1
401,Poweshiek,Iowa,5.0,0.53,4687,8,18428,1
402,Scott,Iowa,39.0,0.4,36851,10,171493,1
403,Story,Iowa,14.0,0.45,14980,8,95888,1
